Model,MSO2014
Firmware Version,1.35

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.04,
Sample Interval,3.2e-06,
Filter Frequency,4.2e+07,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,5,
Label,,
TIME,CH1,CH1 Peak Detect
-1.29712e-01,-5.3,-5.5
-1.29709e-01,-5.3,-5.1
-1.29706e-01,-5.5,-5.5
-1.29702e-01,-5.5,-5.1
-1.29699e-01,-5.5,-5.7
-1.29696e-01,-5.5,-5.1
-1.29693e-01,-5.5,-5.7
-1.29690e-01,-5.5,-5.3
-1.29686e-01,-5.5,-5.7
-1.29683e-01,-5.5,-5.3
-1.29680e-01,-5.5,-5.7
-1.29677e-01,-5.5,-5.3
-1.29674e-01,-5.3,-5.7
-1.29670e-01,-5.3,-5.3
-1.29667e-01,-5.5,-5.7
-1.29664e-01,-5.5,-5.3
-1.29661e-01,-5.5,-5.7
-1.29658e-01,-5.5,-5.3
-1.29654e-01,-5.5,-5.7
-1.29651e-01,-5.3,-5.1
-1.29648e-01,-5.5,-5.7
-1.29645e-01,-5.3,-5.3
-1.29642e-01,-5.3,-5.7
-1.29638e-01,-5.3,-5.3
-1.29635e-01,-5.3,-5.7
-1.29632e-01,-5.5,-5.3
-1.29629e-01,-5.3,-5.5
-1.29626e-01,-5.3,-5.3
-1.29622e-01,-5.3,-5.5
-1.29619e-01,-5.3,-5.1
-1.29616e-01,-5.3,-5.5
-1.29613e-01,-5.5,-5.1
-1.29610e-01,-5.5,-5.5
-1.29606e-01,-5.3,-5.3
-1.29603e-01,-5.3,-5.5
-1.29600e-01,-5.5,-5.1
-1.29597e-01,-5.3,-5.5
-1.29594e-01,-5.3,-5.1
-1.29590e-01,-5.3,-5.5
-1.29587e-01,-5.3,-5.1
-1.29584e-01,-5.3,-5.5
-1.29581e-01,-5.3,-5.1
-1.29578e-01,-5.3,-5.5
-1.29574e-01,-5.3,-5.1
-1.29571e-01,-5.3,-5.5
-1.29568e-01,-5.3,-5.1
-1.29565e-01,-5.3,-5.5
-1.29562e-01,-5.3,-5.1
-1.29558e-01,-5.3,-5.5
-1.29555e-01,-5.3,-5.1
-1.29552e-01,-5.3,-5.5
-1.29549e-01,-5.3,-5.1
-1.29546e-01,-5.3,-5.5
-1.29542e-01,-5.3,-5.1
-1.29539e-01,-5.3,-5.5
-1.29536e-01,-5.3,-5.1
-1.29533e-01,-5.3,-5.5
-1.29530e-01,-5.3,-5.1
-1.29526e-01,-5.3,-5.5
-1.29523e-01,-5.3,-5.1
-1.29520e-01,-5.3,-5.5
-1.29517e-01,-5.3,-5.1
-1.29514e-01,-5.5,-5.5
-1.29510e-01,-5.5,-5.1
-1.29507e-01,-5.5,-5.7
-1.29504e-01,-5.5,-5.1
